statefips,age,hrslastwk,unempwks,wagehr,earnwk,ownchild,educ,gender,metro,race,hispanic,marstatus,lfstatus,ottipcomm,hourly,unionstatus
CA,50,40,NA,12,576.92,0,14,Male,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
AK,34,40,NA,NA,3048.59,1,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MT,50,NA,NA,NA,NA,4,16,Male,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
NY,30,44,NA,NA,2500,0,18,Female,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
SC,40,NA,NA,NA,NA,0,12,Female,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
TN,35,30,NA,NA,300,0,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
AL,56,40,NA,25,1000,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
CO,42,25,NA,8,1000,0,7.5,Female,Metro,Black,Non-hispanic,Widowed,Employed,No,Hourly,Non-union
MD,55,40,NA,NA,650,0,12,Female,Metro,Other,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
TX,58,46,NA,NA,1711.53,0,13,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
TX,39,41,NA,22.78,820.08,1,16,Female,Metro,Other,Hispanic,Married,Employed,No,Hourly,Non-union
MA,59,44,NA,31,1240,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
AZ,39,30,NA,17,510,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
IL,58,8,NA,24,192,0,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WY,34,60,NA,11,440,0,12,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
PA,36,40,NA,15,600,2,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
NM,39,NA,NA,NA,NA,2,10,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
VA,35,NA,NA,NA,NA,2,13,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
CT,56,NA,NA,NA,NA,0,10,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
IN,36,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
OR,47,40,NA,13.95,558,1,12,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Union
DE,58,40,NA,18.45,738,0,12,Female,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
MT,48,38,NA,NA,207,0,11,Female,Non-metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
NM,55,20,NA,14,450,0,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
KS,46,35,NA,NA,1900,0,12,Female,Metro,Black,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
AL,57,NA,NA,NA,NA,0,10,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
ID,57,40,NA,29,2920.88,0,12,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
ME,59,NA,NA,NA,NA,0,12,Male,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
WA,51,NA,NA,NA,NA,0,11,Female,Non-metro,Other,Non-hispanic,Divorced,Not in LF,NA,NA,NA
AL,50,NA,NA,NA,NA,0,12,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
MI,44,40,NA,NA,1923.07,1,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NV,38,30,NA,15,450,2,12,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
TX,34,30,NA,9,270,1,9,Female,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
IN,41,20,NA,16,480,2,12,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
AL,50,NA,NA,NA,NA,1,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NC,33,NA,NA,NA,NA,2,12,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
